Country Code,Pincode,Place,State,State Code,District,District Code,Sub-District,Sub-District Code,Latitude,Longitude,Accuracy
IN,110077,Palam Extn (Harijan Basti),Delhi,7,West Delhi,96,,,28.6553,77.0657,1
IN,110045,Palam Village,Delhi,7,South West Delhi,97,New Delhi,,28.6035,77.0894,3
IN,110036,Palla,Delhi,7,North West Delhi,90,Delhi,,28.842,77.187,4
IN,110017,Panchsheel Enclave,Delhi,7,South Delhi,98,New Delhi,,28.5189,77.2131,3
IN,110003,Pandara Road,Delhi,7,Central Delhi,95,New Delhi,,28.6431,77.2197,4
IN,110043,Pandwala Kalan,Delhi,7,South West Delhi,97,New Delhi,,28.6032,76.9672,3
IN,110043,Papravat,Delhi,7,South West Delhi,97,New Delhi,,28.6032,76.9672,3
IN,110001,Parliament House,Delhi,7,Central Delhi,95,New Delhi,,28.6407,77.2154,4
IN,110030,Paryavaran Complex,Delhi,7,South West Delhi,97,,,28.5724,77.0274,3
IN,110063,Paschim Vihar,Delhi,7,West Delhi,96,New Delhi,,28.6553,77.0657,1
IN,110063,Paschim Vihar B Block,Delhi,7,West Delhi,96,New Delhi,,28.6553,77.0657,1
IN,110008,Patel Nagar (Central Delhi),Delhi,7,Central Delhi,95,New Delhi,,28.6466,77.1701,3
IN,110008,Patel Nagar East,Delhi,7,Central Delhi,95,New Delhi,,28.6431,77.2197,4
IN,110008,Patel Nagar South,Delhi,7,Central Delhi,95,New Delhi,,28.6431,77.2197,4
IN,110008,Patel Nagar West,Delhi,7,Central Delhi,95,New Delhi,,28.6466,77.1701,3
IN,110001,Patiala House,Delhi,7,Central Delhi,95,New Delhi,,28.6431,77.2197,3
IN,110091,Patparganj,Delhi,7,East Delhi,93,,,28.609,77.2953,4
IN,110054,Patrachar Vidyalay,Delhi,7,North Delhi,91,Delhi,,28.6921,77.2245,3
IN,110087,Peeragarhi,Delhi,7,West Delhi,96,New Delhi,,28.6553,77.0657,1
IN,110042,Pehlad Pur,Delhi,7,North West Delhi,90,Delhi,,28.7581,77.1309,3
IN,110010,Pinto Park,Delhi,7,South West Delhi,97,,,28.5724,77.0274,3
IN,110086,Pooth Kalan,Delhi,7,North West Delhi,90,Delhi,,28.7441,77.0732,1
IN,110086,Pooth Kalan Resettlement,Delhi,7,North West Delhi,90,,,28.7441,77.0732,1
IN,110039,Pooth Khurd,Delhi,7,North West Delhi,90,Delhi,,28.805,77.0309,3
IN,110035,Power House,Delhi,7,North West Delhi,90,Delhi,,28.6772,77.1573,3
IN,110001,Pragati Maidan,Delhi,7,Central Delhi,95,New Delhi,,28.6431,77.2197,3
IN,110001,Pragati Maidan Camp,Delhi,7,Central Delhi,95,New Delhi,,28.6431,77.2197,3
IN,110003,Pragati Vihar,Delhi,7,South Delhi,98,New Delhi,,28.5947,77.2264,3
IN,110085,Prashant Vihar,Delhi,7,North West Delhi,90,Delhi,,28.7201,77.1027,3
IN,110014,Pratap Market,Delhi,7,South Delhi,98,New Delhi,,28.5014,77.2274,1
IN,110086,Prem Nagar,Delhi,7,North West Delhi,90,Delhi,,28.7441,77.0732,1
IN,110044,Pul Pahladpur,Delhi,7,South Delhi,98,New Delhi,,28.5027,77.3084,3
IN,110081,Punjab Khor,Delhi,7,North West Delhi,90,Delhi,,28.7759,76.9649,4
IN,110026,Punjabi Bagh,Delhi,7,West Delhi,96,,,28.6709,77.141,4
IN,110026,Punjabi Bagh Sec - III,Delhi,7,West Delhi,96,New Delhi,,28.6709,77.141,3
IN,110017,Pushp Vihar,Delhi,7,South Delhi,98,New Delhi,,28.5189,77.2131,3
IN,110062,Pushpa Bhawan,Delhi,7,South Delhi,98,New Delhi,,28.508,77.2294,3
IN,110073,Quazipur,Delhi,7,South West Delhi,97,New Delhi,,28.5563,76.8963,3
IN,110039,Qutabagarh,Delhi,7,North West Delhi,90,Delhi,,28.805,77.0309,3
IN,110071,Qutub Vihar,Delhi,7,West Delhi,96,New Delhi,,28.6553,77.0657,1
IN,110066,R K Puram (Main),Delhi,7,South West Delhi,97,,,28.5724,77.0274,1
IN,110022,R K Puram Sect-1,Delhi,7,South West Delhi,97,,,28.5724,77.0274,1
IN,110022,R K Puram Sect-12,Delhi,7,South West Delhi,97,,,28.5724,77.0274,1
IN,110022,R K Puram Sect-3,Delhi,7,South West Delhi,97,,,28.5724,77.0274,1
IN,110022,R K Puram Sect-4,Delhi,7,South West Delhi,97,,,28.5724,77.0274,1
IN,110022,R K Puram Sect-5,Delhi,7,South West Delhi,97,,,28.5724,77.0274,1
IN,110022,R K Puram Sect-8,Delhi,7,South West Delhi,97,,,28.5724,77.0274,1
IN,110022,R K Puram Sect7,Delhi,7,South West Delhi,97,,,28.5724,77.0274,1
IN,110022,R K Puram Sector - 6 Postal SB,Delhi,7,South West Delhi,97,,,28.5724,77.0274,1
IN,110066,R K Puram West,Delhi,7,South West Delhi,97,,,28.5724,77.0274,1
IN,110010,R R Hospital,Delhi,7,South West Delhi,97,,,28.5724,77.0274,3
IN,110007,R.C.A.O.,Delhi,7,North Delhi,91,Delhi,,28.6764,77.2074,3
IN,110031,Raghubar Pura,Delhi,7,East Delhi,93,,,28.6548,77.2752,3
IN,110001,Rail Bhawan,Delhi,7,Central Delhi,95,New Delhi,,28.6431,77.2197,3
IN,110077,Raj Nagar - II,Delhi,7,South West Delhi,97,New Delhi,,28.5458,77.0784,1
IN,110060,Rajender Nagar,Delhi,7,Central Delhi,95,New Delhi,,28.6431,77.2197,1
IN,110031,Rajgarh Colony,Delhi,7,East Delhi,93,,,28.659,77.2739,4
IN,110038,Rajokari,Delhi,7,South West Delhi,97,,,28.5724,77.0274,1
IN,110027,Rajouri Garden J-6,Delhi,7,West Delhi,96,New Delhi,,28.6553,77.0657,1
IN,110027,Rajouri Market,Delhi,7,West Delhi,96,New Delhi,,28.6553,77.0657,1
IN,110051,Ram Nagar (East Delhi),Delhi,7,East Delhi,93,,,28.6292,77.298,1
IN,110015,Ramesh Nagar H.O,Delhi,7,West Delhi,96,New Delhi,,28.6553,77.0657,1
IN,110035,Rampura,Delhi,7,North West Delhi,90,Delhi,,28.6772,77.1573,4
IN,110007,Rana Pratap Bagh,Delhi,7,North Delhi,91,,,28.6764,77.2074,3
IN,110041,Ranhola,Delhi,7,West Delhi,96,New Delhi,,28.6592,77.0382,4
IN,110034,Rani Bagh,Delhi,7,North West Delhi,90,Delhi,,28.716,77.1429,1
IN,110081,Rani Khera,Delhi,7,North West Delhi,90,Delhi,,28.706,77.0258,4
IN,110073,Raota,Delhi,7,South West Delhi,97,New Delhi,,28.5232,76.9019,4
IN,110004,Rashtrapati Bhawan,Delhi,7,Central Delhi,95,New Delhi,,28.6455,77.205,1
IN,110043,Rewla Khanpur,Delhi,7,South West Delhi,97,New Delhi,,28.6032,76.9672,3
IN,110085,Rithala,Delhi,7,North West Delhi,90,Delhi,,28.7201,77.1027,4
IN,110085,Rohini Courts,Delhi,7,North West Delhi,90,,,28.7201,77.1027,3
IN,110089,Rohini Sector 15,Delhi,7,North West Delhi,90,,,28.7441,77.0732,1
IN,110085,Rohini Sector 5,Delhi,7,North West Delhi,90,Delhi,,28.7201,77.1027,3
IN,110085,Rohini Sector-16,Delhi,7,North Delhi,91,Delhi,,28.7106,77.2115,3
IN,110085,Rohini Sector-7,Delhi,7,North West Delhi,90,,,28.7201,77.1027,3
IN,110085,Rohini sec-11,Delhi,7,North West Delhi,90,Delhi,,28.7201,77.1027,3
IN,110032,Rohtash Nagar,Delhi,7,East Delhi,93,,,28.6292,77.298,3
IN,110007,Roop Nagar,Delhi,7,North Delhi,91,Delhi,,28.6764,77.2074,3
IN,110007,Roshan Ara Road,Delhi,7,North Delhi,91,Delhi,,28.6764,77.2074,3
IN,110006,S.T. Road,Delhi,7,North Delhi,91,Delhi,,28.7106,77.2115,1
IN,110094,Sabhapur,Delhi,7,North West Delhi,90,Delhi North East,,28.7688,77.0869,1
IN,110049,Sadiq Nagar,Delhi,7,South Delhi,98,New Delhi,,28.5014,77.2274,1
IN,110003,Safdarjung Air Port,Delhi,7,South Delhi,98,New Delhi,,28.5947,77.2264,3
IN,110029,Safdarjung Enclave,Delhi,7,South West Delhi,97,,,28.565,77.1972,4
IN,110050,Safdarjung Sorting Delivery Office,Delhi,7,South Delhi,98,South Delhi,,28.5014,77.2274,1
IN,110046,Sagarpur,Delhi,7,South West Delhi,97,New Delhi,,28.5921,77.1056,4
IN,110049,Sahpurjat,Delhi,7,South Delhi,98,New Delhi,,28.5014,77.2274,1
IN,110017,Saket (South Delhi),Delhi,7,South Delhi,98,New Delhi,,28.5189,77.2131,4
IN,110042,Samai Pur,Delhi,7,North West Delhi,90,Delhi,,28.7581,77.1309,3
IN,110080,Sangam Vihar,Delhi,7,South Delhi,98,South Delhi,,28.5014,77.2274,1
IN,110074,Sanjay Colony Bhati Mines,Delhi,7,South West Delhi,97,South West Delhi,,28.5724,77.0274,3
IN,110059,Sanjay Enclave,Delhi,7,West Delhi,96,New Delhi,,28.6553,77.0657,1
IN,110040,Sanoth,Delhi,7,North West Delhi,90,Delhi,,28.8138,77.0739,4
IN,110001,Sansad Marg H.O,Delhi,7,Central Delhi,95,New Delhi,,28.6431,77.2197,3
IN,110001,Sansadiya Soudh,Delhi,7,Central Delhi,95,New Delhi,,28.6431,77.2197,3
IN,110065,Sant Nagar (South Delhi),Delhi,7,South Delhi,98,New Delhi,,28.5619,77.2553,3
IN,110035,Sarai Rohilla,Delhi,7,North West Delhi,90,Delhi,,28.6772,77.1573,3
IN,110034,Saraswati Vihar,Delhi,7,North West Delhi,90,Delhi,,28.716,77.1429,1
IN,110076,Sarita Vihar,Delhi,7,South Delhi,98,New Delhi,,28.525,77.3062,3
IN,110023,Sarojini Nagar H.O,Delhi,7,South West Delhi,97,Delhi,,28.5724,77.0274,1
IN,110017,Sarvodya Enclave,Delhi,7,South Delhi,98,New Delhi,,28.5189,77.2131,3
IN,110005,Sat Nagar,Delhi,7,Central Delhi,95,New Delhi,,28.6551,77.1833,3
IN,110074,Satbari,Delhi,7,South West Delhi,97,,,28.5724,77.0274,3
IN,110052,Satyawati Nagar,Delhi,7,North West Delhi,90,Delhi,,28.7688,77.0869,1
IN,110074,Sawan Public School,Delhi,7,South West Delhi,97,South West Delhi,,28.5724,77.0274,3
IN,110001,Secretariat North,Delhi,7,Central Delhi,95,New Delhi,,28.6431,77.2197,3
IN,110053,Seelampur,Delhi,7,East Delhi,93,,,28.6708,77.2721,4
IN,110042,Shahbad Daulatpur,Delhi,7,North West Delhi,90,Delhi,,28.7581,77.1309,3
IN,110061,Shahbad Mohammadpur,Delhi,7,South West Delhi,97,,,28.5346,77.0536,3
IN,110032,Shahdara,Delhi,7,East Delhi,93,,,28.6292,77.298,4
IN,110032,Shahdara Mandi,Delhi,7,East Delhi,93,,,28.6292,77.298,3
IN,110090,Shaheed Bhagat Singh Colony,Delhi,7,North East Delhi,92,,,28.7077,77.274,1
IN,110092,Shakarpur,Delhi,7,East Delhi,93,,,28.6266,77.2794,4
IN,110007,Shakti Nagar (North Delhi),Delhi,7,North Delhi,91,Delhi,,28.6764,77.2074,3
IN,110056,Shakur Basti Depot,Delhi,7,North West Delhi,90,Delhi,,28.7688,77.0869,1
IN,110034,Shakur Pur I  Block,Delhi,7,North West Delhi,90,Delhi,,28.716,77.1429,1
IN,110034,Shakurbasti Rs,Delhi,7,North West Delhi,90,Delhi,,28.716,77.1429,1
IN,110088,Shalamar,Delhi,7,North West Delhi,90,Delhi,,28.7219,77.159,4
IN,110088,Shalimar Bagh (North West Delhi),Delhi,7,North West Delhi,90,Delhi,,28.7219,77.159,3
IN,110001,Shastri Bhawan,Delhi,7,Central Delhi,95,New Delhi,,28.6431,77.2197,3
IN,110031,Shastri Nagar (East Delhi),Delhi,7,East Delhi,93,,,28.6548,77.2752,3
IN,110052,Shastri Nagar (North West Delhi),Delhi,7,North West Delhi,90,Delhi,,28.7688,77.0869,1
IN,110032,Shivaji Park (East Delhi),Delhi,7,East Delhi,93,,,28.6292,77.298,3
IN,110026,Shivaji Park (West Delhi),Delhi,7,West Delhi,96,New Delhi,,28.6709,77.141,3
IN,110090,Shriram Colony Rajeev Nagar,Delhi,7,North East Delhi,92,,,28.7077,77.274,1
IN,110043,Shyam Vihar,Delhi,7,West Delhi,96,New Delhi,,28.6553,77.0657,3
IN,110010,Signal Enclave,Delhi,7,South West Delhi,97,,,28.5724,77.0274,3
IN,110040,Singhu,Delhi,7,North West Delhi,90,Delhi,,28.8512,77.1311,4
IN,110042,Siraspur,Delhi,7,North West Delhi,90,Delhi,,28.7581,77.1309,4
IN,110090,Sonia Vihar,Delhi,7,East Delhi,93,,,28.6114,77.2982,1
IN,110011,South Avenue,Delhi,7,Central Delhi,95,New Delhi,,28.6431,77.2197,1
IN,110021,South Delhi Campus,Delhi,7,South West Delhi,97,,,28.5818,77.1793,3
IN,110017,South Malviya Nagar,Delhi,7,South Delhi,98,New Delhi,,28.5189,77.2131,3
IN,110034,Sri Nagar Colony,Delhi,7,North West Delhi,90,Delhi,,28.716,77.1429,1
IN,110065,Sriniwaspuri,Delhi,7,South Delhi,98,New Delhi,,28.565,77.2574,4
IN,110010,Station Road (South West Delhi),Delhi,7,South West Delhi,97,,,28.5724,77.0274,3
IN,110027,Subhash Nagar (West Delhi),Delhi,7,West Delhi,96,New Delhi,,28.6553,77.0657,1
IN,110027,Subhash Nagar West,Delhi,7,West Delhi,96,New Delhi,,28.6553,77.0657,1
IN,110010,Subroto Park,Delhi,7,South West Delhi,97,,,28.5724,77.0274,3
IN,110025,Sukhdev Vihar,Delhi,7,South Delhi,98,New Delhi,,28.5672,77.2725,3
IN,110030,Sultanpur,Delhi,7,South West Delhi,97,,,28.5724,77.0274,3
IN,110086,Sultanpuri B Block,Delhi,7,North West Delhi,90,Delhi,,28.7441,77.0732,1
IN,110086,Sultanpuri C Block,Delhi,7,North West Delhi,90,Delhi,,28.7441,77.0732,1
IN,110086,Sultanpuri F Block,Delhi,7,North West Delhi,90,Delhi,,28.7441,77.0732,1
IN,110093,Sunder Nagari,Delhi,7,North East Delhi,92,,,28.7077,77.274,1
IN,110087,Sunder Vihar,Delhi,7,West Delhi,96,New Delhi,,28.6553,77.0657,1
IN,110001,Supreme Court,Delhi,7,Central Delhi,95,New Delhi,,28.6431,77.2197,3
IN,110092,Surajmal Vihar,Delhi,7,East Delhi,93,,,28.6266,77.2794,3
IN,110043,Surehra,Delhi,7,South West Delhi,97,New Delhi,,28.6032,76.9672,3
IN,110055,Swami Ram Tirth Nagar,Delhi,7,Central Delhi,95,New Delhi,,28.6417,77.2132,3
IN,110030,T B Hospital,Delhi,7,South West Delhi,97,,,28.5724,77.0274,3
IN,110027,Tagore Garden,Delhi,7,West Delhi,96,New Delhi,,28.6553,77.0657,1
IN,110036,Tajpur Kalan,Delhi,7,North West Delhi,90,Delhi,,28.8381,77.17,4
IN,110062,Talimabad,Delhi,7,South Delhi,98,New Delhi,,28.508,77.2294,3
IN,110016,Technology Bhawan,Delhi,7,South West Delhi,97,,,28.5531,77.1916,3
IN,110020,Tehkhand,Delhi,7,South Delhi,98,New Delhi,,28.5345,77.2779,3
IN,110032,Telewara,Delhi,7,East Delhi,93,,,28.6292,77.298,3
IN,110041,Tikri Kalan,Delhi,7,West Delhi,96,New Delhi,,28.6836,76.9701,4
IN,110040,Tikri Khurd,Delhi,7,North West Delhi,90,Delhi,,28.8354,77.1195,4
IN,110018,Tilak Nagar (West Delhi),Delhi,7,West Delhi,96,New Delhi,,28.6396,77.0884,4
IN,110018,Tilak Nagar East,Delhi,7,West Delhi,96,New Delhi,,28.6396,77.0884,3
IN,110043,Tilangpur Kotla,Delhi,7,South West Delhi,97,New Delhi,,28.6032,76.9672,3
IN,110054,Timarpur,Delhi,7,North Delhi,91,Delhi,,28.7038,77.2227,4
IN,110091,Trilok Puri,Delhi,7,East Delhi,93,,,28.6063,77.3045,3
IN,110044,Tugalkabad,Delhi,7,South Delhi,98,New Delhi,,28.5027,77.3084,3
IN,110044,Tugalkabad Railway Colony,Delhi,7,South Delhi,98,New Delhi,,28.5027,77.3084,3
IN,110011,Udyog Bhawan,Delhi,7,Central Delhi,95,New Delhi,,28.6431,77.2197,1
IN,110073,Ujwa,Delhi,7,South West Delhi,97,New Delhi,,28.5563,76.8963,3
IN,110069,Union Public Service Commission,Delhi,7,Central Delhi,95,New Delhi,,28.6431,77.2197,1
IN,110059,Uttam Nagar,Delhi,7,West Delhi,96,New Delhi,,28.6553,77.0657,1
IN,110095,V.K. Nagar,Delhi,7,East Delhi,93,,,28.6114,77.2982,1
IN,110070,Vasant Kunj,Delhi,7,South West Delhi,97,,,28.5439,77.1523,3
IN,110057,Vasant Vihar,Delhi,7,South West Delhi,97,,,28.5724,77.0274,1
IN,110096,Vasundhra Enclave,Delhi,7,East Delhi,93,,,28.6114,77.2982,1
IN,110018,Vikas Puri,Delhi,7,West Delhi,96,New Delhi,,28.6396,77.0884,3
IN,110018,Vishnu Garden,Delhi,7,West Delhi,96,New Delhi,,28.6396,77.0884,3
IN,110032,Vishwas Nagar,Delhi,7,East Delhi,93,,,28.6292,77.298,3
IN,110095,Vivek Vihar,Delhi,7,East Delhi,93,,,28.6114,77.2982,1
IN,110052,Wazir Pur III,Delhi,7,North West Delhi,90,Delhi,,28.7688,77.0869,1
IN,110084,Wazirabad Village,Delhi,7,North Delhi,91,North,,28.7486,77.2096,3
IN,110053,Yamuna Vihar,Delhi,7,East Delhi,93,,,28.6292,77.298,4
IN,110092,Yozna Vihar,Delhi,7,East Delhi,93,,,28.6266,77.2794,3
IN,110015,Zakhira,Delhi,7,West Delhi,96,New Delhi,,28.6553,77.0657,1
IN,110025,Zakir Nagar,Delhi,7,South Delhi,98,New Delhi,,28.5672,77.2725,3
